_id,name,month,day,year,prefix,volume,issue,remotePath
RH18530707-V04-04,Review and Herald for 1853 - Vol. 04 - No. 04,7,7,1853,RH,4,4,http://documents.adventistarchives.org/Periodicals/RH/RH18530707-V04-04.pdf
RH18530721-V04-05,Review and Herald for 1853 - Vol. 04 - No. 05,7,21,1853,RH,4,5,http://documents.adventistarchives.org/Periodicals/RH/RH18530721-V04-05.pdf
RH18530804-V04-06,Review and Herald for 1853 - Vol. 04 - No. 06,8,4,1853,RH,4,6,http://documents.adventistarchives.org/Periodicals/RH/RH18530804-V04-06.pdf
RH18530811-V04-07,Review and Herald for 1853 - Vol. 04 - No. 07,8,11,1853,RH,4,7,http://documents.adventistarchives.org/Periodicals/RH/RH18530811-V04-07.pdf
RH18530828-V04-08,Review and Herald for 1853 - Vol. 04 - No. 08,8,28,1853,RH,4,8,http://documents.adventistarchives.org/Periodicals/RH/RH18530828-V04-08.pdf
RH18530908-V04-09,Review and Herald for 1853 - Vol. 04 - No. 09,9,8,1853,RH,4,9,http://documents.adventistarchives.org/Periodicals/RH/RH18530908-V04-09.pdf
RH18530913-V04-10,Review and Herald for 1853 - Vol. 04 - No. 10,9,13,1853,RH,4,10,http://documents.adventistarchives.org/Periodicals/RH/RH18530913-V04-10.pdf
RH18530920-V04-11,Review and Herald for 1853 - Vol. 04 - No. 11,9,20,1853,RH,4,11,http://documents.adventistarchives.org/Periodicals/RH/RH18530920-V04-11.pdf
RH18530927-V04-12,Review and Herald for 1853 - Vol. 04 - No. 12,9,27,1853,RH,4,12,http://documents.adventistarchives.org/Periodicals/RH/RH18530927-V04-12.pdf
RH18531004-V04-13,Review and Herald for 1853 - Vol. 04 - No. 13,10,4,1853,RH,4,13,http://documents.adventistarchives.org/Periodicals/RH/RH18531004-V04-13.pdf
RH18531011-V04-14,Review and Herald for 1853 - Vol. 04 - No. 14,10,11,1853,RH,4,14,http://documents.adventistarchives.org/Periodicals/RH/RH18531011-V04-14.pdf
RH18531018-V04-15,Review and Herald for 1853 - Vol. 04 - No. 15,10,18,1853,RH,4,15,http://documents.adventistarchives.org/Periodicals/RH/RH18531018-V04-15.pdf
RH18531025-V04-16,Review and Herald for 1853 - Vol. 04 - No. 16,10,25,1853,RH,4,16,http://documents.adventistarchives.org/Periodicals/RH/RH18531025-V04-16.pdf
RH18531101-V04-17,Review and Herald for 1853 - Vol. 04 - No. 17,11,1,1853,RH,4,17,http://documents.adventistarchives.org/Periodicals/RH/RH18531101-V04-17.pdf
RH18531108-V04-18,Review and Herald for 1853 - Vol. 04 - No. 18,11,8,1853,RH,4,18,http://documents.adventistarchives.org/Periodicals/RH/RH18531108-V04-18.pdf
RH18531115-V04-19,Review and Herald for 1853 - Vol. 04 - No. 19,11,15,1853,RH,4,19,http://documents.adventistarchives.org/Periodicals/RH/RH18531115-V04-19.pdf
RH18531122-V04-20,Review and Herald for 1853 - Vol. 04 - No. 20,11,22,1853,RH,4,20,http://documents.adventistarchives.org/Periodicals/RH/RH18531122-V04-20.pdf
RH18531129-V04-21,Review and Herald for 1853 - Vol. 04 - No. 21,11,29,1853,RH,4,21,http://documents.adventistarchives.org/Periodicals/RH/RH18531129-V04-21.pdf
RH18531206-V04-22,Review and Herald for 1853 - Vol. 04 - No. 22,12,6,1853,RH,4,22,http://documents.adventistarchives.org/Periodicals/RH/RH18531206-V04-22.pdf
RH18531213-V04-23,Review and Herald for 1853 - Vol. 04 - No. 23,12,13,1853,RH,4,23,http://documents.adventistarchives.org/Periodicals/RH/RH18531213-V04-23.pdf
RH18531220-V04-24,Review and Herald for 1853 - Vol. 04 - No. 24,12,20,1853,RH,4,24,http://documents.adventistarchives.org/Periodicals/RH/RH18531220-V04-24.pdf
RH18531227-V04-25,Review and Herald for 1853 - Vol. 04 - No. 25,12,27,1853,RH,4,25,http://documents.adventistarchives.org/Periodicals/RH/RH18531227-V04-25.pdf
YI18530101-V01-04,The Youth's Instructor for 1853 - Vol. 01 - No. 04,1,1,1853,YI,1,4,http://documents.adventistarchives.org/Periodicals/YI/YI18530101-V01-04.pdf
YI18530201-V01-05,The Youth's Instructor for 1853 - Vol. 01 - No. 05,2,1,1853,YI,1,5,http://documents.adventistarchives.org/Periodicals/YI/YI18530201-V01-05.pdf
YI18530301-V01-06,The Youth's Instructor for 1853 - Vol. 01 - No. 06,3,1,1853,YI,1,6,http://documents.adventistarchives.org/Periodicals/YI/YI18530301-V01-06.pdf
YI18530401-V01-07,The Youth's Instructor for 1853 - Vol. 01 - No. 07,4,1,1853,YI,1,7,http://documents.adventistarchives.org/Periodicals/YI/YI18530401-V01-07.pdf
YI18530501-V01-08,The Youth's Instructor for 1853 - Vol. 01 - No. 08,5,1,1853,YI,1,8,http://documents.adventistarchives.org/Periodicals/YI/YI18530501-V01-08.pdf
YI18530601-V01-09,The Youth's Instructor for 1853 - Vol. 01 - No. 09,6,1,1853,YI,1,9,http://documents.adventistarchives.org/Periodicals/YI/YI18530601-V01-09.pdf
YI18530701-V01-10,The Youth's Instructor for 1853 - Vol. 01 - No. 10,7,1,1853,YI,1,10,http://documents.adventistarchives.org/Periodicals/YI/YI18530701-V01-10.pdf
"YI18530801-V01-11,12","The Youth's Instructor for 1853 - Vol. 01 - No. 11,12",8,1,1853,YI,1,11,"http://documents.adventistarchives.org/Periodicals/YI/YI18530801-V01-11,12.pdf"
RH18540110-V04-26,Review and Herald for 1854 - Vol. 04 - No. 26,1,10,1854,RH,4,26,http://documents.adventistarchives.org/Periodicals/RH/RH18540110-V04-26.pdf
RH18540124-V05-01,Review and Herald for 1854 - Vol. 05 - No. 01,1,24,1854,RH,5,1,http://documents.adventistarchives.org/Periodicals/RH/RH18540124-V05-01.pdf
RH18540131-V05-02,Review and Herald for 1854 - Vol. 05 - No. 02,1,31,1854,RH,5,2,http://documents.adventistarchives.org/Periodicals/RH/RH18540131-V05-02.pdf
RH18540207-V05-03,Review and Herald for 1854 - Vol. 05 - No. 03,2,7,1854,RH,5,3,http://documents.adventistarchives.org/Periodicals/RH/RH18540207-V05-03.pdf
RH18540214-V05-04,Review and Herald for 1854 - Vol. 05 - No. 04,2,14,1854,RH,5,4,http://documents.adventistarchives.org/Periodicals/RH/RH18540214-V05-04.pdf
RH18540221-V05-05,Review and Herald for 1854 - Vol. 05 - No. 05,2,21,1854,RH,5,5,http://documents.adventistarchives.org/Periodicals/RH/RH18540221-V05-05.pdf
RH18540228-V05-06,Review and Herald for 1854 - Vol. 05 - No. 06,2,28,1854,RH,5,6,http://documents.adventistarchives.org/Periodicals/RH/RH18540228-V05-06.pdf
RH18540307-V05-07,Review and Herald for 1854 - Vol. 05 - No. 07,3,7,1854,RH,5,7,http://documents.adventistarchives.org/Periodicals/RH/RH18540307-V05-07.pdf
RH18540314-V05-08,Review and Herald for 1854 - Vol. 05 - No. 08,3,14,1854,RH,5,8,http://documents.adventistarchives.org/Periodicals/RH/RH18540314-V05-08.pdf
RH18540321-V05-09,Review and Herald for 1854 - Vol. 05 - No. 09,3,21,1854,RH,5,9,http://documents.adventistarchives.org/Periodicals/RH/RH18540321-V05-09.pdf
RH18540328-V05-10,Review and Herald for 1854 - Vol. 05 - No. 10,3,28,1854,RH,5,10,http://documents.adventistarchives.org/Periodicals/RH/RH18540328-V05-10.pdf
RH18540404-V05-11,Review and Herald for 1854 - Vol. 05 - No. 11,4,4,1854,RH,5,11,http://documents.adventistarchives.org/Periodicals/RH/RH18540404-V05-11.pdf
RH18540411-V05-12,Review and Herald for 1854 - Vol. 05 - No. 12,4,11,1854,RH,5,12,http://documents.adventistarchives.org/Periodicals/RH/RH18540411-V05-12.pdf
RH18540418-V05-13,Review and Herald for 1854 - Vol. 05 - No. 13,4,18,1854,RH,5,13,http://documents.adventistarchives.org/Periodicals/RH/RH18540418-V05-13.pdf
RH18540426-V05-14,Review and Herald for 1854 - Vol. 05 - No. 14,4,26,1854,RH,5,14,http://documents.adventistarchives.org/Periodicals/RH/RH18540426-V05-14.pdf
RH18540502-V05-15,Review and Herald for 1854 - Vol. 05 - No. 15,5,2,1854,RH,5,15,http://documents.adventistarchives.org/Periodicals/RH/RH18540502-V05-15.pdf
RH18540509-V05-16,Review and Herald for 1854 - Vol. 05 - No. 16,5,9,1854,RH,5,16,http://documents.adventistarchives.org/Periodicals/RH/RH18540509-V05-16.pdf
RH18540516-V05-17,Review and Herald for 1854 - Vol. 05 - No. 17,5,16,1854,RH,5,17,http://documents.adventistarchives.org/Periodicals/RH/RH18540516-V05-17.pdf
RH18540523-V05-18,Review and Herald for 1854 - Vol. 05 - No. 18,5,23,1854,RH,5,18,http://documents.adventistarchives.org/Periodicals/RH/RH18540523-V05-18.pdf
RH18540530-V05-19,Review and Herald for 1854 - Vol. 05 - No. 19,5,30,1854,RH,5,19,http://documents.adventistarchives.org/Periodicals/RH/RH18540530-V05-19.pdf
RH18540613-V05-20,Review and Herald for 1854 - Vol. 05 - No. 20,6,13,1854,RH,5,20,http://documents.adventistarchives.org/Periodicals/RH/RH18540613-V05-20.pdf
RH18540620-V05-21,Review and Herald for 1854 - Vol. 05 - No. 21,6,20,1854,RH,5,21,http://documents.adventistarchives.org/Periodicals/RH/RH18540620-V05-21.pdf
RH18540704-V05-22,Review and Herald for 1854 - Vol. 05 - No. 22,7,4,1854,RH,5,22,http://documents.adventistarchives.org/Periodicals/RH/RH18540704-V05-22.pdf
RH18540711-V05-23,Review and Herald for 1854 - Vol. 05 - No. 23,7,11,1854,RH,5,23,http://documents.adventistarchives.org/Periodicals/RH/RH18540711-V05-23.pdf
RH18540718-V05-24,Review and Herald for 1854 - Vol. 05 - No. 24,7,18,1854,RH,5,24,http://documents.adventistarchives.org/Periodicals/RH/RH18540718-V05-24.pdf
RH18540725-V05-25,Review and Herald for 1854 - Vol. 05 - No. 25,7,25,1854,RH,5,25,http://documents.adventistarchives.org/Periodicals/RH/RH18540725-V05-25.pdf
RH18540801-V05-26,Review and Herald for 1854 - Vol. 05 - No. 26,8,1,1854,RH,5,26,http://documents.adventistarchives.org/Periodicals/RH/RH18540801-V05-26.pdf
RH18540815-V06-01,Review and Herald for 1854 - Vol. 06 - No. 01,8,15,1854,RH,6,1,http://documents.adventistarchives.org/Periodicals/RH/RH18540815-V06-01.pdf
RH18540822-V06-02,Review and Herald for 1854 - Vol. 06 - No. 02,8,22,1854,RH,6,2,http://documents.adventistarchives.org/Periodicals/RH/RH18540822-V06-02.pdf
RH18540829-V06-03,Review and Herald for 1854 - Vol. 06 - No. 03,8,29,1854,RH,6,3,http://documents.adventistarchives.org/Periodicals/RH/RH18540829-V06-03.pdf
RH18540905-V06-04,Review and Herald for 1854 - Vol. 06 - No. 04,9,5,1854,RH,6,4,http://documents.adventistarchives.org/Periodicals/RH/RH18540905-V06-04.pdf
RH18540912-V06-05,Review and Herald for 1854 - Vol. 06 - No. 05,9,12,1854,RH,6,5,http://documents.adventistarchives.org/Periodicals/RH/RH18540912-V06-05.pdf
RH18540919-V06-06,Review and Herald for 1854 - Vol. 06 - No. 06,9,19,1854,RH,6,6,http://documents.adventistarchives.org/Periodicals/RH/RH18540919-V06-06.pdf
RH18540926-V06-07,Review and Herald for 1854 - Vol. 06 - No. 07,9,26,1854,RH,6,7,http://documents.adventistarchives.org/Periodicals/RH/RH18540926-V06-07.pdf
RH18541003-V06-08,Review and Herald for 1854 - Vol. 06 - No. 08,10,3,1854,RH,6,8,http://documents.adventistarchives.org/Periodicals/RH/RH18541003-V06-08.pdf
